point_id,record_rows,first_time,last_time,global_expected_steps,point_expected_steps,observed_steps,coverage_ratio,duplicate_timestamp_rows,speed_anomaly_count,travel_time_anomaly_count,congestion_anomaly_count,coverage_group,max_consecutive_missing_steps,meets_coverage_threshold_for_direct_1week
N001,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1897,0.9580808080808081,0,0,0,0,high,24,True
N002,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1912,0.9656565656565657,0,0,0,0,high,24,True
N003,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1905,0.9621212121212122,0,0,0,0,high,24,True
N004,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1902,0.9606060606060606,0,0,0,0,high,24,True
N005,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24,True
N006,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1899,0.9590909090909091,0,0,0,0,high,25,True
N007,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24,True
N008,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1908,0.9636363636363636,0,0,0,0,high,24,True
N009,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1909,0.9641414141414142,0,0,0,0,high,24,True
N010,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1908,0.9636363636363636,0,0,0,0,high,24,True
N011,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1916,0.9676767676767677,0,0,0,0,high,24,True
N012,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1898,0.9585858585858585,0,0,0,0,high,24,True
N013,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1911,0.9651515151515152,0,0,0,0,high,24,True
N014,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1906,0.9626262626262626,0,0,0,0,high,24,True
N015,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1895,0.9570707070707071,0,0,0,0,high,25,True
N016,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1907,0.9631313131313132,0,0,0,0,high,24,True
N017,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24,True
N018,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1906,0.9626262626262626,0,0,0,0,high,24,True
N019,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1916,0.9676767676767677,0,0,0,0,high,24,True
N020,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24,True
N021,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24,True
N022,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1905,0.9621212121212122,0,0,0,0,high,24,True
N023,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1900,0.9595959595959596,0,0,0,0,high,24,True
N024,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1899,0.9590909090909091,0,0,0,0,high,24,True
N025,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24,True
N026,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1909,0.9641414141414142,0,0,0,0,high,24,True
N027,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1898,0.9585858585858585,0,0,0,0,high,24,True
N028,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1901,0.9601010101010101,0,0,0,0,high,24,True
N029,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1898,0.9585858585858585,0,0,0,0,high,24,True
N030,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1909,0.9641414141414142,0,0,0,0,high,24,True
N031,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1900,0.9595959595959596,0,0,0,0,high,24,True
N032,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1911,0.9651515151515152,0,0,0,0,high,24,True
N033,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1902,0.9606060606060606,0,0,0,0,high,24,True
N034,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1889,0.954040404040404,0,0,0,0,high,24,True
N035,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1907,0.9631313131313132,0,0,0,0,high,24,True
N036,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24,True
N037,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1908,0.9636363636363636,0,0,0,0,high,24,True
N038,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1903,0.9611111111111111,0,0,0,0,high,24,True
N039,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1902,0.9606060606060606,0,0,0,0,high,24,True
N040,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1907,0.9631313131313132,0,0,0,0,high,24,True
N041,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24,True
N042,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1900,0.9595959595959596,0,0,0,0,high,24,True
N043,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1896,0.9575757575757575,0,0,0,0,high,25,True
